#redshift LBT/Gyr log10(SMD) log10(SMD_d) log10(SMD_b)
6.0795 12.8931 6.12060303222 5.78294067209 5.85335441282
5.96592 12.8706 6.16813082345 5.83135942645 5.90012315294
5.85415 12.8476 6.2146425103 5.87877512929 5.94586171256
5.74418 12.824 6.26001084829 5.92526319735 5.99026828871
5.63596 12.7999 6.30451392052 5.97059612598 6.03405559558
5.5295 12.7751 6.34812064295 6.01517785294 6.07681809574
5.42471 12.7498 6.39092424678 6.05859198641 6.11909125867
5.32163 12.7238 6.43277476663 6.10149045322 6.16002804219
5.22022 12.6972 6.4737310294 6.14281022551 6.20066638417
5.1204 12.67 6.5141226132 6.18325381936 6.24101243984
5.02221 12.6421 6.55375097937 6.22267017794 6.28082632742
4.92557 12.6135 6.59260748919 6.2612909517 6.31988892345
4.8305 12.5843 6.63075145054 6.29960188883 6.35788693216
4.73694 12.5543 6.66803500287 6.33662513331 6.39539797241
4.6449 12.5236 6.70467571577 6.37360911502 6.43173864252
4.55432 12.4921 6.74082899697 6.40961877707 6.46801751174
4.4652 12.4599 6.77638751292 6.44509068404 6.50365172547
4.37753 12.4269 6.81118525984 6.48005181215 6.53830665071
4.29123 12.3931 6.84523046745 6.51423096892 6.57223468987
4.20633 12.3585 6.87888441826 6.54831893582 6.60550853077
4.12279 12.3231 6.91173391827 6.58164543722 6.63793945139
4.0406 12.2867 6.94386442612 6.61455371542 6.66938559321
3.95973 12.2496 6.97541031717 6.64786772247 6.69936709367
3.88014 12.2115 7.00641409246 6.67938697655 6.72991251778
3.80185 12.1725 7.03717664041 6.70993602578 6.76086502829
3.7248 12.1326 7.06729148262 6.74054118587 6.79054334245
3.64898 12.0917 7.096698733 6.770510958 6.81944863247
3.5744 12.0498 7.12549477031 6.79958180088 6.84799900206
3.501 12.0069 7.15357070216 6.82835013464 6.87545464016
3.42878 11.963 7.18120572577 6.85729737123 6.90190894539
3.35772 11.918 7.20871656368 6.8857658078 6.9285538514
3.2878 11.872 7.23598319418 6.91397155561 6.95496772006
3.219 11.8248 7.26288716512 6.94178600818 6.98104156248
3.15131 11.7766 7.28860455744 6.9682729892 7.00605468338
3.0847 11.7272 7.31399150969 6.99567560624 7.02958565903
3.01916 11.6766 7.33903949681 7.02226917661 7.05319923921
2.95466 11.6248 7.3637207158 7.04811070813 7.07679711325
2.89122 11.5718 7.38800960337 7.07368776644 7.099876696
2.82878 11.5175 7.4120075053 7.09884002217 7.12278498562
2.76734 11.4619 7.43593215372 7.12404433964 7.14549512763
2.7069 11.4051 7.45928965977 7.14818606617 7.16810488894
2.64743 11.3469 7.48212477589 7.17236219225 7.18965523299
