#will print SFR density
#redshift LBG/Gyr SFRD_tot[Msun/yr/Mpc^3] SFRD_disk[Msun/yr/Mpc^3] SFRD_bulges[Msun/yr/Mpc^3]
7.642146 13.129747 -2.082300319852361 -2.328783376013753 -2.4457258631131866
7.5041246 13.113147 -2.0769143923127267 -2.2991156687617913 -2.4743261466947275
7.368341 13.096148 -2.017160809927395 -2.2774714090125268 -2.3631268028792185
7.2347226 13.0787325 -2.048298160309978 -2.2488127430033464 -2.4803432143726845
7.103268 13.060899 -2.0054353892021872 -2.2259255363702724 -2.405421303900982
6.9739094 13.04263 -1.9961572516319386 -2.1984957052287175 -2.4251115359757294
6.8465834 13.023912 -1.9556933328178523 -2.1777882688272143 -2.3532643233674224
6.7213516 13.004749 -1.9630431407565618 -2.1513624190561553 -2.416695157826918
6.5980334 12.985106 -1.940596050301071 -2.1230392528596083 -2.405285511250441
6.4767475 12.964996 -1.8885757362222029 -2.1003529975759907 -2.302074926530074
6.357377 12.944393 -1.844603584348799 -2.078861904743525 -2.224569784516842
6.239924 12.923292 -1.8447935966967992 -2.05500120517839 -2.2608021569472005
6.124334 12.901677 -1.828956619330465 -2.0365387519244735 -2.249215737424602
6.010558 12.87953 -1.7984837879204014 -2.0182707002815654 -2.199535023260902
5.898645 12.856854 -1.807992581868469 -1.9967313528193278 -2.2608728759317707
5.7884974 12.833624 -1.7718850398146002 -1.9811226941153481 -2.1894560936790275
5.680116 12.809833 -1.7764603952984408 -1.9605744601580581 -2.2379674210716685
5.573455 12.78546 -1.7653094267997922 -1.9411826593938961 -2.242867063081472
5.4685144 12.760503 -1.7199234519361954 -1.9272134238455862 -2.140659751330739
5.3652506 12.73494 -1.7046823602159904 -1.9123891798269517 -2.1247380861642595
5.263623 12.708755 -1.6898356209289735 -1.9001767639464466 -2.105629783251255
5.163632 12.681939 -1.6766556180617413 -1.8846422836845182 -2.0962554119551533
5.065201 12.654465 -1.6944457014769592 -1.8670820353682134 -2.1785603705916787
4.9683676 12.626333 -1.6859553136987409 -1.852889056479615 -2.1819920726980615
4.873094 12.597525 -1.6712281279051568 -1.8381810890288284 -2.1672238864338054
4.779311 12.568011 -1.627127747673737 -1.8278166442349935 -2.058875890391076
4.6870527 12.537793 -1.6381398595958596 -1.8106489165484418 -2.122515397500715
4.596253 12.506841 -1.6435111767734176 -1.794891910127557 -2.1747188745810906
4.5069113 12.475145 -1.5742686085495898 -1.7867500912953775 -1.9866495979025083
4.418997 12.442685 -1.5324818678257828 -1.7796490022964608 -1.8950135720519294
4.33248 12.409441 -1.5594348107173337 -1.765971458172043 -1.9814054140534265
4.247333 12.375391 -1.5377285675071735 -1.7571786226920603 -1.9392916431288207
4.1635556 12.340527 -1.4847088421997574 -1.7537388481104452 -1.8202855674606377
4.08112 12.304825 -1.524103656557147 -1.7381526498768831 -1.9340124108433094
4.0 12.268266 -1.5378006454147704 -1.7197183019955906 -2.0034984855354026
3.9201703 12.230827 -1.4966777851207205 -1.7111717251458232 -1.9058889554833542
3.8416302 12.192497 -1.4738210138305732 -1.7058974999124734 -1.856857332763945
3.7643096 12.153232 -1.4769390445589925 -1.69243219145682 -1.8845903285685295
3.6882546 12.113042 -1.4608683874791377 -1.6833553161440862 -1.8578528824773455
3.6133974 12.071882 -1.4692094579590051 -1.6685631255760933 -1.9032401677776092
3.5397387 12.02974 -1.4270189482097715 -1.660428725286269 -1.8081747482330652
3.4672773 11.986607 -1.4408395713669695 -1.6494530776966703 -1.8594208967551666
