#redshifts[ind], us.look_back_time(redshifts[ind]), np.log10(sfr[ind]*pow(h0,2.0)), np.log10(sfrd[ind]*pow(h0,2.0)), np.log10(sfrb[ind]*pow(h0,2.0))):
1.770536 10.123611 -1.3230815506433025 -1.5788051374508154 -1.6747008746802736
1.7260807 10.03609 -1.3254069472829484 -1.5806160360476467 -1.677668748841875
1.6823459 9.946647 -1.3350395113281945 -1.5806674002723045 -1.699587026669784
1.6393024 9.855213 -1.3302710700994345 -1.583606407415344 -1.6848872625592035
1.5969574 9.761794 -1.3381157738338167 -1.5858740887493405 -1.699877631642733
1.5552901 9.666336 -1.3454560816270786 -1.5868711553787742 -1.7156063114401032
1.5142875 9.568801 -1.3438410900713376 -1.5898767262126192 -1.7078530074375617
1.4739432 9.469166 -1.3540397773476467 -1.5924379742407473 -1.7282811630063066
1.4342508 9.367411 -1.3556170198464124 -1.5956862640815286 -1.7275840465391405
1.3951924 9.263483 -1.3592849995646616 -1.5988976486748556 -1.7318714203092564
1.3567619 9.157363 -1.360135200728618 -1.6034697745546889 -1.7277169338450131
1.3189481 9.049017 -1.3720412701544173 -1.606494181501956 -1.7517354525896611
1.2817402 8.93841 -1.3785148751250167 -1.6097893939344088 -1.7626890474967891
1.2451276 8.825512 -1.3834783367805699 -1.6137925621732507 -1.7690217134783197
1.209105 8.710305 -1.3938093423225053 -1.61681937466944 -1.790013228499308
1.1736579 8.592747 -1.3946807153835374 -1.6209935694287756 -1.7860094428458715
1.1387812 8.472821 -1.4053149594239678 -1.6242516864091328 -1.8076599431744433
1.1044657 8.350504 -1.4042013052583404 -1.629085995394701 -1.7976268287285353
1.0706978 8.225752 -1.4064146586100679 -1.6342491944023365 -1.7955278905981085
1.0374732 8.0985565 -1.428146439956922 -1.6356325272419907 -1.8485623340412747
1.0047834 7.9688964 -1.4282862708895252 -1.6394318203516702 -1.842792532716685
0.97261614 7.836734 -1.436385541119746 -1.641764043882006 -1.8602648105631052
0.9409636 7.702051 -1.4382344093896882 -1.6462155243729175 -1.8578432390173019
0.90982205 7.5648475 -1.4413308272454095 -1.6498317975662864 -1.8600947131577004
0.87918 7.4250913 -1.4491794495795471 -1.653700110393565 -1.8744812053038584
0.849027 7.282754 -1.455083757736542 -1.657699106445767 -1.8835718557160528
0.8193594 7.137841 -1.457466100184941 -1.661925209117524 -1.8828702098055468
0.79016733 6.990329 -1.459359252759513 -1.6655744292414327 -1.8818583021528288
0.7614441 6.84021 -1.4730998933207966 -1.667526602443154 -1.9157209329720595
0.73318034 6.687465 -1.4813617524453824 -1.6699361426183459 -1.934544198746277
0.7053729 6.5321107 -1.4838192943139292 -1.6721802263242247 -1.9373945880892405
0.67801 6.3741164 -1.488682915793266 -1.673659213935833 -1.9485614998352276
0.6510859 6.2134833 -1.4939055758617972 -1.6755681899698531 -1.960094058883758
0.6245924 6.050205 -1.4924956223877546 -1.6783221194813132 -1.9507775948666966
0.5985268 5.8843064 -1.4955973893387238 -1.6816024258218385 -1.9535452181988417
0.57287854 5.715768 -1.5007529248007985 -1.6842661453294105 -1.9634002671021182
0.54764026 5.544587 -1.4967989871773115 -1.68952073253137 -1.9424558696522876
0.5228094 5.3708 -1.5141704842819554 -1.692703054394436 -1.986449905355792
0.49837425 5.194378 -1.5145593076811117 -1.6969081666537433 -1.9794295260721444
0.4743326 5.015361 -1.5282711774479234 -1.6993252150672211 -2.015645612308491
0.4506777 4.8337584 -1.528922494853597 -1.7018872153226825 -2.012365172883674
0.42740095 4.6495705 -1.533209012832878 -1.7038572380933552 -2.021425365081453
0.40449834 4.4628267 -1.5410370839845837 -1.707106340189171 -2.0389240416181984
0.38196373 4.273546 -1.5338462929138257 -1.711473051679844 -2.007912739687549
0.3597894 4.0817366 -1.54358044892036 -1.7146734887056927 -2.0308740953397866
0.33797163 3.8874388 -1.5427082058824644 -1.719255805254617 -2.018918215970593
0.31650317 3.6906614 -1.5540160826331844 -1.7242087512911994 -2.0431804432883194
0.2953804 3.4914522 -1.5581641794317467 -1.730167440404626 -2.0435787140441217
0.2745949 3.289814 -1.5696668196328423 -1.732969614738347 -2.073553381218281
0.25414494 3.0858126 -1.5659244438215256 -1.7368222917363132 -2.05362263090856
0.23402098 2.8794374 -1.5767785226751774 -1.7396686268248767 -2.0815705410496443
0.21422145 2.670762 -1.5780842426211228 -1.742749136422003 -2.079001695680822
0.19473885 2.459796 -1.5862702347600601 -1.7447780485736537 -2.100849954468649
0.17556886 2.246585 -1.587149025608873 -1.7489267539905575 -2.0943953930913213
0.15670723 2.0311785 -1.5934992329711812 -1.7518593438908325 -2.108414460391522
0.13814716 1.81359 -1.5956498369373118 -1.7533189358773482 -2.1121396754717274
0.11988604 1.5938911 -1.5874028003349454 -1.7571827655643233 -2.0774286441796983
0.101917446 1.3720999 -1.5960514757226094 -1.7593449592877164 -2.099958436837685
0.0842365 1.1482592 -1.6009136867589921 -1.7616286415416367 -2.1105239171541283
0.066839635 0.92242527 -1.6028816728310817 -1.7620907402868584 -2.115873568757707
0.04972219 0.6946392 -1.6008381889406078 -1.764931961586092 -2.1029969710398557
0.032879658 0.46494865 -1.6002279446642151 -1.7671560797546217 -2.0962766681988474
0.01630664 0.23338032 -1.604122364935641 -1.7701876710557536 -2.102017803241911
0.0 9.536743e-07 -1.606875205737106 -1.771402161509346 -2.1080919922136636
