#SMF all galaxies from z=0, 10
#log10(Mstar/Msun) phi phi_err redshift
#SMF all galaxies from z=0, 10
6.8125 -1.0703968654156018 -1.0574318882512341 0.5
6.9375 -1.1194185080318366 -1.0813368514796147 0.5
7.0625 -1.1551529089308321 -1.1714515061622537 0.5
7.1875 -1.2420909102421396 -1.2171539146654127 0.5
7.3125 -1.2953998330325318 -1.266074614884959 0.5
7.4375 -1.3289819023759337 -1.3135822574389848 0.5
7.5625 -1.3831733366639454 -1.3759682859969038 0.5
7.6875 -1.4368050910569017 -1.385601830309106 0.5
7.8125 -1.4985316594443905 -1.4729775549720023 0.5
7.9375 -1.5228910053038351 -1.5457538882633395 0.5
8.0625 -1.60207225135146 -1.60207225135146 0.5
8.1875 -1.6433981271130602 -1.605425893359048 0.5
8.3125 -1.800088391961181 -1.682591848171347 0.5
8.4375 -1.7392072663202305 -1.7494046169763626 0.5
8.5625 -1.800088391961181 -1.8397977630666547 0.5
8.6875 -1.874656133203442 -1.8659823459685279 0.5
8.8125 -1.9222252189674782 -1.87091756364404 0.5
8.9375 -1.9647364996749546 -1.916675054204715 0.5
9.0625 -2.0016858439130636 -1.9901039713632487 0.5
9.1875 -2.0311702420138844 -2.0240505008909366 0.5
9.3125 -2.0275957816555863 -2.0118650868184975 0.5
9.4375 -2.0745414931541974 -2.0608771688469147 0.5
9.5625 -2.154914220009241 -2.181989497602162 0.5
9.6875 -2.2302941771767166 -2.213588483673864 0.5
9.8125 -2.2719708077402205 -2.2536176057593407 0.5
9.9375 -2.346799746248154 -2.3896797427295455 0.5
10.0625 -2.361907164510896 -2.365767585324134 0.5
10.1875 -2.3896797427295455 -2.455944215673222 0.5
10.3125 -2.485566682280023 -2.419350413396766 0.5
10.4375 -2.5761365172570603 -2.485566682280023 0.5
10.5625 -2.5698875679800586 -2.636834357610672 0.5
10.6875 -2.80220175127458 -2.8129256166663534 0.5
10.8125 -2.923623914160043 -2.791736317596415 0.5
10.9375 -3.1597131028910095 -2.983621843835328 0.5
11.0625 -3.301042255687479 -3.1362320070414866 0.5
11.1875 -3.3735929228360906 -3.2688575723160778 0.5
11.3125 -3.636834357610672 -3.4149856079943155 0.5
11.4375 -3.5698875679800586 -3.5698875679800586 0.5
11.5625 -4.113955612330335 -3.8129256166663534 0.5
11.6875 0.0 -4.113955612330335 0.5
11.8125 0.0 -4.414985607994316 0.5
11.9375 0.0 -4.113955612330335 0.5
12.0625 0.0 -4.414985607994316 0.5
12.1875 0.0 0.0 0.5
12.3125 0.0 0.0 0.5
12.4375 0.0 0.0 0.5
12.5625 0.0 0.0 0.5
12.6875 0.0 0.0 0.5
12.8125 0.0 0.0 0.5
12.9375 0.0 0.0 0.5
13.0625 0.0 0.0 0.5
13.1875 0.0 0.0 0.5
13.3125 0.0 0.0 0.5
13.4375 0.0 0.0 0.5
13.5625 0.0 0.0 0.5
13.6875 0.0 0.0 0.5
13.8125 0.0 0.0 0.5
13.9375 0.0 0.0 0.5
14.0625 0.0 0.0 0.5
14.1875 0.0 0.0 0.5
14.3125 0.0 0.0 0.5
14.4375 0.0 0.0 0.5
14.5625 0.0 0.0 0.5
14.6875 0.0 0.0 0.5
14.8125 0.0 0.0 0.5
14.9375 0.0 0.0 0.5
5.0625 -0.952138572162642 -0.9628923589765842 1.0
5.1875 -0.8914992756510877 -0.8929328071254932 1.0
5.3125 -0.8387594705447107 -0.8550789829582031 1.0
5.4375 -0.7856779679205668 -0.817400106242111 1.0
5.5625 -0.7668208294203145 -0.7771957786320866 1.0
5.6875 -0.7331114858656688 -0.7718291423746094 1.0
5.8125 -0.706224884303999 -0.7580254252514664 1.0
5.9375 -0.7162762585517288 -0.7518502930365614 1.0
6.0625 -0.7445541986337101 -0.7661378996214221 1.0
6.1875 -0.7770957914135251 -0.7906003665740505 1.0
6.3125 -0.8189386004488766 -0.8205930576188889 1.0
6.4375 -0.8677033000310124 -0.8546006850223001 1.0
6.5625 -0.8966032924489717 -0.8976577256999421 1.0
6.6875 -0.9434005538091259 -0.9414986379297473 1.0
6.8125 -1.0153118865132775 -0.992724157180713 1.0
6.9375 -1.0572412828139401 -1.0515616750771393 1.0
7.0625 -1.1163508248698801 -1.1032317469385613 1.0
7.1875 -1.1860722019996275 -1.1415213353729694 1.0
7.3125 -1.238315675326166 -1.2116806918558327 1.0
7.4375 -1.2456051126823662 -1.2663829531882222 1.0
7.5625 -1.3509021720307197 -1.3132385340479493 1.0
7.6875 -1.4051099742821556 -1.363061691948209 1.0
7.8125 -1.4427827696152513 -1.449313636774209 1.0
7.9375 -1.5195630619549076 -1.5043612031051143 1.0
8.0625 -1.5422467805216469 -1.56189607814245 1.0
8.1875 -1.6621691768060443 -1.6239971329054999 1.0
8.3125 -1.7116942298756543 -1.669910816412258 1.0
8.4375 -1.7637075939961715 -1.698147884694791 1.0
8.5625 -1.777495878481805 -1.8096805618532061 1.0
8.6875 -1.8991117642826365 -1.8151025359206279 1.0
8.8125 -1.9180559599211007 -1.875909509201539 1.0
