#redshift LBG/Gyr SFRD_tot[Msun/yr/Mpc^3] SFRD_disk[Msun/yr/Mpc^3] SFRD_bulges[Msun/yr/Mpc^3]
0.310073 3.6306162 -1.923552943187581 -2.035644311399842 -2.5666059879239795
0.297717 3.5137682 -1.922334331407745 -2.04075491452142 -2.5445571486684426
0.285478 3.3960981 -1.9333818263271183 -2.0452307565107772 -2.577259190878926
0.273353 3.277587 -1.9394105561694797 -2.0496263787475617 -2.5888940108452094
0.261343 3.158265 -1.9345967102493262 -2.053918671188475 -2.5539564955853447
0.249447 3.0381413 -1.9396485282539095 -2.0584739834264694 -2.5605822861123833
0.237662 2.9171982 -1.9484507311354249 -2.0623744733682625 -2.5853382020317346
0.225989 2.7954693 -1.9456234347909778 -2.066854952235126 -2.5589988247835618
0.220194 2.7343082 -1.9407343019258319 -2.0732976542864896 -2.5206921421286164
0.214425 2.6729345 -1.9570995122801615 -2.0768021155126424 -2.575257687392488
0.208684 2.6113749 -1.9633957172302992 -2.07958077138721 -2.592827957406058
0.202971 2.5496292 -1.9642620553272945 -2.0823560808038946 -2.5875282632821226
0.197284 2.4876795 -1.9629418230948887 -2.0847564680758377 -2.5745112345298597
0.191624 2.425537 -1.9753253276040081 -2.0865434878623765 -2.6213569193508315
0.185992 2.3632164 -1.9721204676325768 -2.0886293600390773 -2.6004985970195618
0.180385 2.300686 -1.9708507809137668 -2.090905065054813 -2.587902650031599
0.174805 2.2379723 -1.9829965161904122 -2.0923864272916664 -2.635351074808279
0.169251 2.1750622 -1.9863560520561492 -2.094221307375249 -2.644075722741148
0.163724 2.1119747 -1.9770935970739554 -2.09650650316318 -2.5961658888359826
0.158224 2.048709 -1.9790803676632491 -2.0984688246682137 -2.598229922651482
0.152748 1.9852362 -1.987833104581357 -2.100062837018731 -2.6304165996738686
0.147299 1.9215899 -1.9797936697063412 -2.102710123323014 -2.5879776317477248
0.141876 1.8577614 -1.9821217428482796 -2.1044910142715225 -2.5919826207502488
0.136479 1.7937546 -1.9928500025863043 -2.1064808510753568 -2.630715406600442
0.131107 1.729558 -1.9919604757851208 -2.108132388051179 -2.6214355642057097
0.12576 1.6651773 -1.9979998757870714 -2.1093422241317694 -2.6436062426766247
0.120438 1.6006136 -2.0013437237132248 -2.1111755015493223 -2.6521591879023836
0.115142 1.5358801 -2.0061914768301605 -2.112517868081196 -2.669413808527578
0.109871 1.4709702 -2.0046617447337436 -2.1142110957683786 -2.6564601380096167
0.104623 1.405858 -2.0004930726669956 -2.1158152528515406 -2.6327504390963075
0.0994013 1.3405886 -1.9910278078398553 -2.117774320963379 -2.5877091856636723
0.0942044 1.2751465 -2.0029182149950246 -2.118882657689555 -2.633070476780538
0.0890328 1.2095385 -2.0063248392427417 -2.1202227489353116 -2.6432984465610088
0.0838839 1.1437378 -2.0110466044305744 -2.1215298770325925 -2.659605543566843
0.0787603 1.0777779 -2.0085354848335735 -2.1227961957881547 -2.6443013920338707
0.0736618 1.0116577 -2.0163452675245352 -2.1237080081307065 -2.675852033539905
0.0685861 0.94535255 -2.014742642158423 -2.1248833032643883 -2.664486370735211
0.0635345 0.8788786 -2.0135525742025258 -2.1263252097121565 -2.65430001175873
0.0585068 0.8122406 -2.0188713211811637 -2.12735792708113 -2.674394236756499
0.0535032 0.7454395 -2.0168578937649477 -2.128256062724674 -2.6622733038036968
0.0485236 0.67847824 -2.002246774621941 -2.1305751043396595 -2.594293884618016
0.0435668 0.6113434 -2.009633637952404 -2.132171075828895 -2.6189782317867483
0.0386341 0.54405594 -2.020481544347346 -2.1329768315526962 -2.662165696465242
0.0337242 0.4765997 -2.024412667949104 -2.1336705277656702 -2.6772285483330633
0.0288383 0.40899277 -2.0123754110641348 -2.135962563465697 -2.618515577677739
0.0239743 0.34121323 -2.0132385208316155 -2.136682505437225 -2.6198138860760154
0.0191342 0.27328587 -2.022403139882502 -2.137446233718146 -2.6555794157341386
0.0143161 0.2051897 -2.0225241183284868 -2.138246916017718 -2.6534668432877013
0.00952181 0.13695335 -2.0282689246538204 -2.1388684649083567 -2.676426742362876
0.00474945 0.06855106 -2.0307136103329118 -2.1396150117375297 -2.684777935108081
0.0 9.536743e-07 -2.0160206349374095 -2.141103185228795 -2.6176494707331024
