#boost_burst=3
#redsshift OmegaHI           H2_Density         SFR_density       SM_density
6.43153      -5.02578578529 6.71328623505 -2.02011880088 5.9644593032
6.3122902    -4.9795322068 6.74139365566 -1.99004028222 6.01582859201
6.1949601    -4.9340674748 6.76819673482 -1.96072221222 6.06592699641
6.0795202    -4.89003258388 6.79397767255 -1.93348072124 6.11470605146
5.96593      -4.84752245098 6.81884996134 -1.90673477164 6.16225274639
5.8541598    -4.80582170749 6.8428129999 -1.88068315051 6.20867715133
5.7441802    -4.76530899989 6.86551065514 -1.85643756631 6.25392524054
5.6359701    -4.72586388339 6.88782524644 -1.83263048501 6.2981029686
5.5295       -4.68769898933 6.90927813054 -1.80944851266 6.34126527931
5.4247298    -4.65085496131 6.93023672192 -1.7869210149 6.38348972724
5.32164      -4.614428302 6.9501523227 -1.76436522992 6.42485693511
5.2202101    -4.57954363838 6.96959677499 -1.74395370857 6.4652738826
5.12041      -4.54532468809 6.98842742028 -1.72322244017 6.50489059904
5.0222001    -4.51194919958 7.00665388953 -1.70419531134 6.54362146455
4.92558      -4.47949865218 7.02417016558 -1.68540254502 6.58155656868
4.8305001    -4.4479479507 7.04108871459 -1.66728644653 6.61871218062
4.7369499    -4.41714450241 7.0570609907 -1.64965086837 6.65513009746
4.6448998    -4.38734326789 7.07311627413 -1.63306687048 6.6907907516
4.5543299    -4.35835041737 7.08842176983 -1.61659424677 6.72577316217
4.46521      -4.33021896078 7.10288555212 -1.60022797155 6.76012461777
4.3775201    -4.3028601773 7.11699801239 -1.58538205017 6.79378054332
4.2912302    -4.2761965481 7.13081489709 -1.57096412008 6.82679657856
4.2063298    -4.25004747433 7.14417241022 -1.55648225857 6.85921647186
4.1227999    -4.22453702905 7.15677257229 -1.54242021515 6.89106477875
4.0405998    -4.20001237595 7.16897421074 -1.53030333141 6.92225742203
3.9597199    -4.17601190434 7.1806147247 -1.51707825052 6.95292750177
3.8801501    -4.15293432735 7.19139853376 -1.50568615211 6.98299699904
3.8018401    -4.13043586832 7.20173985494 -1.49496372819 7.01246454029
3.7248001    -4.10867548849 7.2115348609 -1.48436260399 7.04138157745
3.6489899    -4.08710412774 7.22073544139 -1.4753467189 7.06969308824
3.5743899    -4.0663055052 7.22950810407 -1.46730912475 7.09737183721
3.5009999    -4.04559676484 7.23817521765 -1.45918236681 7.12449115823
3.4287801    -4.02605760705 7.24646395572 -1.45087789515 7.15109765241
3.3577199    -4.00716314448 7.25434078334 -1.44088978961 7.17732892791
3.2878001    -3.98869921773 7.26172942614 -1.43184667978 7.20315782285
3.2190001    -3.97056083253 7.26909607543 -1.42276779076 7.22861279202
3.1513       -3.950594125 7.27623787877 -1.42114899513 7.25330522458
3.0847001    -3.93263495975 7.28281424963 -1.41496299638 7.27754427069
3.01916      -3.91526476354 7.28910948046 -1.40810616257 7.30139542691
2.95467      -3.89813616521 7.29483478001 -1.40279329401 7.32481101285
2.8912201    -3.88124377566 7.30044398583 -1.39847773114 7.3477556671
2.8287799    -3.8653286585 7.30628916737 -1.39261782976 7.37035064464
2.76735      -3.84944126856 7.31150096948 -1.38666313469 7.39261607816
2.7068999    -3.83418087378 7.31635802421 -1.38163862802 7.4145271265
2.6474199    -3.81940833288 7.32068956392 -1.37828845454 7.43602753941
2.5889001    -3.80485401353 7.32469032786 -1.37484685427 7.45714668792
2.5313101    -3.79071746136 7.32870214583 -1.37119385953 7.47791695274
2.4746499    -3.77676959581 7.33205657427 -1.3680065697 7.49833737828
2.4189       -3.76342254272 7.33504572622 -1.36510264992 7.51841504962
2.3640499    -3.7503168007 7.33781803375 -1.3626922914 7.53814574056
2.31007      -3.73754038141 7.34007365805 -1.36103092121 7.55752449383
2.2569599    -3.72507033059 7.34181944159 -1.35998164488 7.57653616103
2.2047       -3.71298853842 7.34384115304 -1.35906210292 7.59520267911
2.15328      -3.70113787977 7.34495202514 -1.35852518791 7.61352242759
2.10269      -3.68922222826 7.34638195166 -1.35901638998 7.63147574546
2.0529001    -3.67784144703 7.34699298321 -1.3591819573 7.64909819492
2.0039201    -3.66704745984 7.34786444721 -1.36046568308 7.66636178459
1.9557199    -3.65653171789 7.34839243412 -1.35998712482 7.68334943347
1.90829      -3.6459306808 7.34849808297 -1.36135001057 7.70001066797
1.86163      -3.63582694689 7.34789165835 -1.36437932102 7.71629902474
1.81572      -3.62579919101 7.34764003502 -1.36690202636 7.73225344337
1.77054      -3.61626146278 7.34728612863 -1.36922807051 7.74789539415
1.7260799    -3.60686104565 7.34658895298 -1.3715352981 7.7632431766
1.68234      -3.59768512345 7.3459110325 -1.37149297856 7.7783886651
1.6393       -3.58860665372 7.34467369269 -1.37516426871 7.79322009968
1.5969599    -3.58017547635 7.3441690211 -1.37657410487 7.80782113133
1.55529      -3.57166169992 7.34316033035 -1.38029784867 7.82212890823
1.51429      -3.56343916596 7.34140601659 -1.38404969097 7.83615751002
1.47395      -3.55547479679 7.33980933912 -1.38619637694 7.84996730484
1.43425      -3.54770376819 7.33658040778 -1.39097850422 7.86348447141
1.39519      -3.54018341841 7.33398171402 -1.39509300169 7.8767452271
1.35676      -3.5329178956 7.33244179739 -1.39974128166 7.88974282149
1.3189501    -3.52565932573 7.32960975001 -1.40347718448 7.90251479758
1.28174      -3.51872116064 7.32587226385 -1.40928534458 7.91501113551
1.2451299    -3.51194304421 7.32213377643 -1.41703603455 7.92718900677
1.20911      -3.50518416331 7.31887915191 -1.4236657819 7.93909362439
1.17366      -3.49860575597 7.31630031566 -1.42758759535 7.95080913181
1.13878      -3.49234973483 7.31186900194 -1.43402374592 7.96227471178
1.10447      -3.48626899046 7.30816211458 -1.44146889954 7.97347395923
1.0707       -3.48159998626 7.30401796447 -1.44725761835 7.98446168799
1.03747      -3.47728886235 7.29958951893 -1.45219154667 7.99526469039
1.0047801    -3.47200823976 7.29568872575 -1.45780013104 8.00587025187
0.97261602   -3.46803775953 7.28993037961 -1.46526813755 8.01624276015
0.940965     -3.46433020985 7.28428656719 -1.47250453577 8.02639712683
0.90982199   -3.46078316291 7.27960344634 -1.48022312193 8.03632618028
0.879179     -3.45624491674 7.27487857526 -1.48449126199 8.04611574168
0.84902698   -3.45304560065 7.26825141209 -1.49117060445 8.05571689054
0.819359     -3.45020856395 7.26240011576 -1.49829360851 8.06512490376
0.79016799   -3.44703060829 7.25520117083 -1.50657697666 8.07432197242
0.76144397   -3.44308094096 7.24957959456 -1.51626137017 8.08328460086
0.733181     -3.44037293271 7.24368424507 -1.52223625841 8.09209756467
0.70537198   -3.43778116197 7.23597992108 -1.527681299 8.10077320412
0.67800897   -3.43526302362 7.23012455581 -1.53481470549 8.10928206025
0.65108502   -3.43264752308 7.22363085299 -1.54181708062 8.11763169258
0.62459397   -3.43015600902 7.21711839853 -1.55032388047 8.12579741823
0.59852701   -3.42793825825 7.21062871719 -1.55839432338 8.13379069615
0.572878     -3.42574525133 7.20431030038 -1.56628844297 8.14162173716
0.54764098   -3.42352357718 7.19699087606 -1.57362481492 8.14930431645
0.52280903   -3.42151253575 7.19046287618 -1.58114046523 8.15683649057
0.498375     -3.41912569096 7.18339125323 -1.58947673039 8.16421001958
0.474334     -3.41716672246 7.17704811331 -1.59799585269 8.17142411603
0.45067799   -3.41487619602 7.16984306974 -1.60506673008 8.1785064808
0.42740101   -3.41297271882 7.16241344045 -1.61247690759 8.1854558668
0.40449899   -3.411656939 7.15726221804 -1.6185113439 8.19229430688
0.38196301   -3.40990605145 7.1514557113 -1.6239979591 8.19903274603
0.35978901   -3.40879238949 7.14505980572 -1.63026101407 8.20566063041
0.337971     -3.40756620843 7.13883830496 -1.63872967474 8.21214612171
0.31650299   -3.40609333843 7.13164943164 -1.64565936529 8.21851543772
0.29538      -3.40477109032 7.12548189609 -1.6534029663 8.22475809342
0.27459499   -3.40336246708 7.11805508997 -1.66059036512 8.2308856758
0.25414401   -3.40220089183 7.10972632321 -1.67115964408 8.23685214453
0.23402099   -3.40092229331 7.10347098937 -1.681017483 8.24267325114
0.214221     -3.39977175571 7.09734532282 -1.68985965592 8.24836515657
0.194739     -3.3981833354 7.09142713389 -1.69589364721 8.25396613017
0.175569     -3.3966009635 7.08568883144 -1.70265320156 8.25946871356
0.156707     -3.39510583614 7.07944006873 -1.71157842972 8.26484701928
0.13814799   -3.39425837042 7.07383713318 -1.7157479739 8.27016221976
0.119886     -3.3930738648 7.0694678059 -1.72172266179 8.27539135703
0.101917     -3.39172388153 7.06351464099 -1.72665398361 8.28054905956
0.084236696  -3.39046055543 7.0589087653 -1.7327191509 8.28562189097
0.06684      -3.38909439096 7.05262499697 -1.73897587919 8.29060882545
0.0497224    -3.38801865088 7.04812757329 -1.74239455475 8.295542492
0.032879502  -3.38680587992 7.04286227128 -1.74909010888 8.30038677072
0.016306801  -3.38611329715 7.03649805687 -1.75255602913 8.30517800257
0.0          -3.38467579148 7.03072411704 -1.75880618035 8.30988629689
#nu_sf=0.5
17.0902      -11.4437757028 0.546957166047 -8.93927254546 -2.47480879899 
16.7999      -11.3603973127 0.844902419634 -8.43681536957 -1.84574467464
16.514299    -10.8676415151 1.11037884238 -8.17185350949 -1.45777664691
16.233299    -10.7580687465 1.42122650789 -7.87866458743 -1.11756193716
15.9568      -10.4271975875 1.75026597939 -7.54664241366 -0.776120320139
15.6847      -10.3024630464 2.00017162666 -7.26632260288 -0.461354273782
15.417       -10.0173249298 2.18054471959 -7.06038485092 -0.194627684123
15.1536      -9.86332973282 2.41727845049 -6.84639807382 0.0534406920707
14.8944      -9.62231488563 2.61809368726 -6.40336028915 0.402731426477
14.6394      -9.44738518222 2.80255905388 -6.31079343041 0.633440293253
14.3885      -9.29885467666 2.97903168818 -6.02280668799 0.893438257456
14.1416      -9.12515897269 3.16346444586 -5.94518800288 1.08413429091
13.8986      -8.92545933439 3.330811625 -5.74156043039 1.28342235296
