#Simu=mini-SURFS
#SMF 
#z=0                   z=0.5                 z=1                 z=2                 z=3                 z=4
-1.53025304018 -1.66509261466 -1.78393514603 -2.00202619223 -2.23365817151 -2.43548609727
-1.39288482362 -1.51348121781 -1.6331236669 -1.86039554065 -2.09659052755 -2.3354137461
-1.33812717504 -1.42954104553 -1.51338003659 -1.6971607922 -1.94158494905 -2.20954285841
-1.34659658216 -1.42534632978 -1.48855671428 -1.62694969338 -1.82254638995 -2.08002325731
-1.38345741444 -1.46626898717 -1.51639971264 -1.6203292086 -1.78243311521 -2.01033175428
-1.43995917123 -1.5321086095 -1.57932687149 -1.66314512491 -1.7980502904 -2.00649951375
-1.52305336445 -1.61284561181 -1.65681404524 -1.73048182266 -1.86291903633 -2.07124759819
-1.6256528401 -1.70188863498 -1.73184537354 -1.80271103195 -1.95076898694 -2.17614680892
-1.73120385482 -1.78393514603 -1.80947848333 -1.88663784726 -2.0404622975 -2.29137132757
-1.82084765388 -1.8650129409 -1.88926869319 -1.97633128944 -2.14734898093 -2.40757414842
-1.89888992759 -1.94045755698 -1.97144007511 -2.06858658595 -2.25555106599 -2.54773177712
-1.96976126893 -2.0160806354 -2.05416195079 -2.15667557597 -2.35938012651 -2.68472821078
-2.03978180824 -2.08597085501 -2.13248428424 -2.25950628571 -2.48049042851 -2.81236324109
-2.10874414653 -2.16669373158 -2.22076696999 -2.37052999586 -2.61842520866 -2.95156843664
-2.180716425 -2.24453001877 -2.30884968821 -2.49714266504 -2.78197871341 -3.13989783963
-2.25258552627 -2.31847532418 -2.38887795964 -2.62561627922 -2.95118142238 -3.37663467152
-2.30835048222 -2.38027328542 -2.47612824053 -2.7628843628 -3.15303784184 -3.65118423215
-2.35596085558 -2.44238389549 -2.57652340327 -2.9240643452 -3.37801065519 -3.96400575254
-2.45202024068 -2.58155907533 -2.73830927581 -3.12753065262 -3.64286293371 -4.32473864086
-2.64806107196 -2.78040944528 -2.94459089714 -3.36813215873 -4.00873148923 -4.77098332911
-2.89314918124 -3.02082295696 -3.19108769986 -3.69643935773 -4.32170160413 -5.23551545652
-3.11166381555 -3.26225561857 -3.47530845039 -4.03217169298 -4.82534099143 -6.00143225048
-3.33946189768 -3.53803702027 -3.78263425237 -4.49628227216 -5.50082989992 -6.30246224615
-3.60668880312 -3.82679105782 -4.18188831494 -5.03922081137 -6.08061349653 0.0
-3.93016408707 -4.26770013989 -4.72650505738 -6.00143225048 0.0 0.0
-4.27172762917 -4.72650505738 -5.18851889384 -6.77958350087 0.0 0.0
-4.63656870061 -5.12637098709 -6.00143225048 0.0 0.0 0.0
-5.10748564293 -5.93448546085 -6.4785535052 0.0 0.0 0.0
-5.60349224181 -6.17752350954 0.0 0.0 0.0 0.0
-6.30246224615 0.0 0.0 0.0 0.0 0.0
