#redshift LBT/Gyr log(rho_SFR) log(rho_sfr_d) log(rho_sfr_b)
2.47465 11.164 -1.2947982222 -1.67148330793 -1.53141775557
2.4189 11.1001 -1.29097125946 -1.66607747005 -1.52873800935
2.36405 11.0348 -1.29005794157 -1.66018456998 -1.53149056315
2.31006 10.9679 -1.28808306058 -1.65573658429 -1.53136371345
2.25696 10.8996 -1.29057160317 -1.65054525753 -1.53971029536
2.2047 10.8296 -1.28925347743 -1.64604840658 -1.54087100212
2.15328 10.758 -1.29049112081 -1.64143289889 -1.54675877645
2.10269 10.6848 -1.28880619484 -1.63719711224 -1.54713599612
2.0529 10.6099 -1.28636478567 -1.63396317854 -1.54533975145
2.00391 10.5333 -1.28764646016 -1.63064607003 -1.55040770548
1.95572 10.455 -1.28818770682 -1.62766305812 -1.5539006216
1.9083 10.3749 -1.29499402817 -1.623913873 -1.56981765827
1.86163 10.293 -1.29520773508 -1.62171190341 -1.57217535398
1.81571 10.2092 -1.29958642221 -1.61860347535 -1.58334479284
1.77054 10.1236 -1.30021450916 -1.61695635318 -1.58608128709
1.72608 10.0361 -1.30442858927 -1.61529130368 -1.59584356577
1.68235 9.94665 -1.30725360559 -1.61348957043 -1.60313929854
1.6393 9.85521 -1.31104775965 -1.61241165943 -1.61174410773
1.59696 9.76179 -1.31628576279 -1.61097433547 -1.62375115057
1.55529 9.66634 -1.32135255643 -1.60926145307 -1.63591245464
1.51429 9.5688 -1.32165909706 -1.60893675613 -1.6368911907
1.47394 9.46917 -1.32652046211 -1.60846407438 -1.64751436304
1.43425 9.36741 -1.33419850846 -1.60889711671 -1.66326000293
1.39519 9.26348 -1.34060762275 -1.60916986815 -1.67673020274
1.35676 9.15736 -1.34301329009 -1.60992790633 -1.68106877269
1.31895 9.04902 -1.34870623875 -1.61207002214 -1.69098214671
1.28174 8.93841 -1.35714044336 -1.61355122119 -1.70790430316
1.24513 8.82551 -1.36839569177 -1.61467323315 -1.73209040269
1.20911 8.71031 -1.3759885812 -1.61550373613 -1.74870745666
1.17366 8.59275 -1.37978932402 -1.61711346743 -1.75550350509
1.13878 8.47282 -1.38500914853 -1.61941015061 -1.76477586609
1.10447 8.3505 -1.39031935038 -1.62231739407 -1.77346674152
1.0707 8.22575 -1.39283842908 -1.6258627171 -1.77453650707
1.03747 8.09856 -1.40250030164 -1.62850408648 -1.79428135589
1.00478 7.9689 -1.41006938285 -1.63139010014 -1.80880264572
0.972616 7.83673 -1.42008226403 -1.63448440954 -1.82943719891
0.940964 7.70205 -1.42735053408 -1.637617392 -1.84326394452
0.909822 7.56485 -1.43316496739 -1.64130756053 -1.8525110551
0.87918 7.42509 -1.44142918012 -1.64479392785 -1.86865956317
0.849027 7.28275 -1.4494052163 -1.64844274689 -1.88397915403
0.819359 7.13784 -1.45755461818 -1.65256347907 -1.89914663527
0.790167 6.99033 -1.46089631921 -1.65756120457 -1.89958185119
0.761444 6.84021 -1.47257991659 -1.66251039652 -1.92327936397
0.73318 6.68747 -1.48165891279 -1.66684397315 -1.94114462278
0.705373 6.53211 -1.48435574571 -1.67298929704 -1.93742940909
0.67801 6.37412 -1.49450721616 -1.67805583395 -1.95708725268
0.651086 6.21348 -1.49973671129 -1.6837229068 -1.96148603208
0.624592 6.05021 -1.51070620304 -1.68939532654 -1.98267788891
0.598527 5.88431 -1.51885944937 -1.69480436999 -1.99627352897
0.572879 5.71577 -1.5267245656 -1.70050311 -2.00850852798
0.54764 5.54459 -1.5350346533 -1.70614717375 -2.02228795613
0.522809 5.3708 -1.54309744988 -1.71211788765 -2.03471537403
0.498374 5.19438 -1.55734524438 -1.71694589683 -2.06945411834
0.474333 5.01536 -1.55738313971 -1.72401783371 -2.05405862369
0.450678 4.83376 -1.57036700324 -1.72894961064 -2.0847769713
0.427401 4.64957 -1.57401723332 -1.73592075608 -2.08098503505
0.404498 4.46283 -1.58667025645 -1.74089304941 -2.11113786745
0.381964 4.27355 -1.58903889081 -1.74793696704 -2.10273392055
0.359789 4.08174 -1.59790715527 -1.75449059487 -2.11688758217
0.337972 3.88744 -1.60977209033 -1.7604006462 -2.14278874248
0.316503 3.69066 -1.61526668586 -1.76760694751 -2.14418215227
0.29538 3.49145 -1.62862748466 -1.77267177813 -2.17794904909
0.274595 3.28981 -1.63151769645 -1.77882115908 -2.17266101682
0.254145 3.08581 -1.64124756808 -1.78471537878 -2.19203835065
0.234021 2.87944 -1.65062442873 -1.79000665993 -2.21203015488
0.214221 2.67076 -1.64985995898 -1.79685743646 -2.19176198355
0.194739 2.4598 -1.65895219188 -1.80273252243 -2.20894563069
0.175569 2.24658 -1.66794061176 -1.8080753535 -2.22736404257
0.156707 2.03118 -1.67500944477 -1.81347701438 -2.23884152379
0.138147 1.81359 -1.68219134397 -1.81839417969 -2.25211255735
0.119886 1.59389 -1.68591653128 -1.82298536381 -2.25349551162
0.101917 1.3721 -1.68631644743 -1.82983881185 -2.23696789812
0.0842365 1.14826 -1.70117758725 -1.83388901174 -2.28072086833
0.0668396 0.922425 -1.70654458916 -1.8400277228 -2.28393596415
0.0497222 0.694639 -1.70996565815 -1.84481330513 -2.28358723855
0.0328797 0.464949 -1.71927478656 -1.84865052099 -2.30828945386
0.0163066 0.23338 -1.72252662858 -1.85524255968 -2.30205730085
0.0 9.53674e-07 -1.72315116019 -1.86066301767 -2.28953856681
