#model: Shark-Lagos18-final-no-stellar-no-agn-feedback-no-reionisation-no-diskins
#SMF 
#z=0                   z=0.5                 z=1                 z=2                 z=3                 z=4
-2.66620844377 -2.38343648156 -2.02434149979 -1.97559408625 -1.94424811825 -2.03075226394
-2.58291000038 -2.29595341837 -1.94379150017 -1.90260976825 -2.06710216307 -2.32605112474
-2.49816376071 -2.21546212535 -1.88010772656 -1.97855730396 -2.0811958414 -2.08429449773
-2.4192552128 -2.13642703525 -1.85717466918 -1.88161021149 -1.85563005787 -1.96509617681
-2.34345267144 -2.0769634328 -1.82079034775 -1.80534822343 -1.94307583008 -2.06375558081
-2.28925974932 -2.0405731758 -1.83767969103 -1.90664096371 -1.99294563461 -2.16166100144
-2.23077657451 -1.99756260582 -1.91692746724 -2.02474609474 -2.1428148582 -2.22061107463
-2.16100202054 -1.95404054828 -1.9740418658 -2.08062218251 -2.04365740692 -2.16767971677
-2.0777910876 -1.89992002475 -1.9076896329 -1.93776744778 -1.99261214865 -2.01316321727
-1.94870625376 -1.88533391692 -1.75569755703 -1.80095111442 -1.85976303352 -1.87552286548
-1.82858130522 -1.84093370696 -1.59985940481 -1.62743280683 -1.66845210208 -1.83667800658
-1.82455514728 -1.69473207822 -1.40334790932 -1.56108213138 -1.64853614579 -1.70610710344
-1.57154814149 -1.36650345482 -1.26727140227 -1.41383352076 -1.52201291319 -1.61643704011
-1.37547192868 -1.26478082445 -1.1928893234 -1.33650992275 -1.42113466205 -1.5082205787
-1.29758510186 -1.21904204976 -1.1303645344 -1.2054711724 -1.2890000311 -1.39830592872
-1.18480213819 -1.07473404083 -0.953344734341 -1.03360123272 -1.14128297838 -1.29134733874
-1.04361991503 -0.857713984133 -0.822143834981 -0.911464765184 -1.07304066608 -1.30597830201
-0.902982933699 -0.81599445594 -0.846581902226 -0.995489959311 -1.22126741231 -1.50287589585
-0.934177221184 -0.953780379229 -1.0101803247 -1.18899130674 -1.44292167698 -1.75532365932
-1.10026464585 -1.14008007843 -1.20289669567 -1.39534481442 -1.6691352118 -2.0094387134
-1.25986442239 -1.31013705433 -1.38300583706 -1.59522998608 -1.89722406034 -2.28444173131
-1.43999493559 -1.49833872233 -1.5770434203 -1.81327277829 -2.15592079351 -2.58219265973
-1.64018618199 -1.70380667971 -1.79369917063 -2.05059700297 -2.42755542603 -2.91099783431
-1.85199758414 -1.91813870609 -2.008106261 -2.29451542658 -2.71404113035 -3.25376154871
-2.06397287013 -2.12434899383 -2.22673284641 -2.53873484238 -3.02188387578 -3.64508764503
-2.27317318475 -2.33578873057 -2.44106724608 -2.80919012879 -3.37887286409 -4.09294723161
-2.46582170458 -2.53585113632 -2.66267703316 -3.11194379481 -3.79640842883 -4.63036438821
-2.64077573565 -2.74215700293 -2.91418338269 -3.43166831437 -4.23304083739 -5.39937225916
-2.85514913732 -2.96367384998 -3.18090240196 -3.84559033704 -4.86576964848 -5.77958350087
-3.05818512535 -3.21669611957 -3.47703612838 -4.31123617046 -5.57546351821 -6.77958350087
-3.28265385279 -3.48357683155 -3.85427140937 -4.89876990859 -6.30246224615 0.0
-3.51500177163 -3.79821799179 -4.23551545652 -5.70040225482 -6.77958350087 0.0
-3.76716812611 -4.14813973185 -4.73819081571 -6.30246224615 0.0 0.0
-4.08585655194 -4.60932178547 -5.27443352255 0.0 0.0 0.0
-4.43716082005 -5.01615550731 -5.73819081571 -6.77958350087 0.0 0.0
-4.79731226783 -5.60349224181 -6.77958350087 0.0 0.0 0.0
-5.27443352255 -6.30246224615 0.0 0.0 0.0 0.0
-6.00143225048 -6.77958350087 0.0 0.0 0.0 0.0
-6.77958350087 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0
#no-agn-feedback-no-diskins
-2.68361257852 -2.32767431393 -1.69585519256 -2.04298782662 -2.47757744028 -2.75137838096
-2.24204143554 -1.86908716237 -1.7531687336 -1.79914832333 -2.05468531545 -2.38992136336
-1.9488793778 -1.66990373162 -1.53730551181 -1.74844175511 -1.87595098478 -1.96898810198
-1.70792974216 -1.60426017394 -1.37877448579 -1.55884013336 -1.82659743567 -2.06528727867
-1.54196939663 -1.46835746934 -1.21285500514 -1.41391397391 -1.63169085604 -1.85962724305
-1.41691445529 -1.34047195871 -1.09978960648 -1.30831086397 -1.49556130874 -1.71309358109
-1.30321567641 -1.19070364737 -1.02362865095 -1.22255657412 -1.40999475576 -1.59710322413
-1.24268810583 -1.01723809901 -0.991815657485 -1.15782992895 -1.33419416306 -1.50744008328
-1.21961705977 -0.968060774332 -1.00684677177 -1.12997315704 -1.27948430895 -1.44216617348
-1.15721195812 -0.999370633624 -1.04314636009 -1.13887454127 -1.26211971662 -1.40739531146
-1.05482689581 -1.04566915846 -1.08090022552 -1.14987020573 -1.26501317079 -1.41233570094
-1.08731308697 -1.11982793393 -1.14713633222 -1.19710082562 -1.28677284272 -1.42793211177
-1.18574273331 -1.21712646843 -1.23263017916 -1.26744364783 -1.3528397021 -1.48316404164
-1.29162540827 -1.31928867895 -1.32855275028 -1.36113967826 -1.44431018948 -1.57550423523
-1.39150184654 -1.41634205135 -1.42781037757 -1.46571838873 -1.55298101825 -1.68395393656
-1.48485060719 -1.50569832628 -1.52063987807 -1.57097286708 -1.66804879812 -1.8126630841
-1.57283855681 -1.59600904594 -1.61325701429 -1.6701399538 -1.78273923049 -1.94142101199
-1.65967138572 -1.68811351499 -1.70724903255 -1.76591222022 -1.89299126417 -2.06989810526
-1.74177069255 -1.77409840243 -1.7977422512 -1.87159740287 -2.00828270486 -2.20395696295
