#frequency ebl ebl1 ebl2 type
3.33102222222e+12 2.23178488889e-08 6.32894222222e-09 6.32894222222e-09 1.0
2.14137142857e+12 2.01288914286e-08 4.49688e-09 4.49688e-09 1.0
1.8737e+12 1.367801e-08 4.68425e-09 4.68425e-09 1.0
1.199168e+12 1.01205929005e-08 2.3e-09 2.6e-09 2.0
856548571429.0 8.73528886506e-09 1.6e-09 1.7e-09 2.0
599584000000.0 5.2325981881e-08 8e-10 9e-10 2.0
1.905001905e+13 5e-09 5e-09 0.0 1.0
666204444444.0 2.58463401176e-08 5.76342440125e-17 1.00859927022e-16 2.0
352696470588.0 4.59558706507e-07 1.38594360602e-17 2.26693101449e-17 2.0
8.32755555556e+13 5.6e-09 1e-09 1e-09 0.0
6.66204444444e+13 4.4e-09 8e-10 8e-10 0.0
857000000000.0 9.92226953259e-09 2e-10 2e-10 2.0
545000000000.0 9.07015209556e-08 1e-10 1e-10 2.0
353000000000.0 4.58778647012e-07 2e-11 2e-11 2.0
217000000000.0 7.32277659371e-07 3e-12 3e-12 2.0
1.875e+13 3.79e-09 2.6e-10 2.6e-10 1.0
8.32755555556e+14 2.87e-09 5.8e-10 4.2e-10 0.0
6.66204444444e+14 4.57e-09 7.3e-10 4.7e-10 0.0
4.47450746269e+14 6.74e-09 1.25e-09 9.4e-10 0.0
3.70113580247e+14 8.04e-09 1.62e-09 9.2e-10 0.0
2.72538181818e+14 9.71e-09 3e-09 1.9e-09 0.0
1.8737e+14 9.02e-09 2.62e-09 1.68e-09 0.0
1.36269090909e+14 7.92e-09 2.04e-09 1.21e-09 0.0
9.99306666667e+14 3.65e-09 7.5e-10 7.5e-10 0.0
6.66204444444e+14 6.1e-09 1.8e-09 1.8e-09 0.0
4.91462295082e+14 7.35e-09 1.55e-09 1.55e-09 0.0
3.70113580247e+14 9.25e-09 1.65e-09 1.65e-09 0.0
2.398336e+14 1.145e-08 1.35e-09 1.35e-09 0.0
1.36269090909e+14 9e-09 1.2e-09 1.2e-09 0.0
1.01246876055e+15 1.7766e-08 1.1844e-08 1.1844e-08 1.0
5.78525665766e+14 5.182e-08 2.591e-08 2.591e-08 1.0
3.66225262644e+14 5.7302e-08 3.2744e-08 3.2744e-08 1.0
2.398336e+14 1.17e-08 2.6e-09 5.6e-09 0.0
1.8737e+14 1.15e-08 1.5e-09 4.5e-09 0.0
1.41411320755e+14 1e-08 8e-10 2.8e-09 0.0
6.81345454545e+14 7.9e-09 4e-09 4e-09 1.0
4.68425e+14 7.7e-09 5.8e-09 5.8e-09 1.0
7.4948e+14 7.2e-09 2e-09 4e-09 1.0
