# table of photometric redshifts of SMGs in LESS sample (Wardlow etal 2011, MN in press)
# table emailed to me by Julie Wardlow (21/12/2010)
# table here includes full sample analyzed (136 sources), rather than just the 78 robust counterparts in Table 2 of the paper
#
# assume Omega_m=0.3, Omega_lambda=0.7, H0=70 where needed
# AB magnitudes
#
# S870 is deboosted 870mu flux in mJy
# ID_quality = 2 for robust ID, 1 for tentative ID, -99 for no ID
# (only robust IDs used in most of paper)
# zphot is photometric redshift, BUT
# - zphot=7.00001 means photo-z program  failed to find a sensible solution (so only use zphot <= 7)
# - zphot=99 means insufficient photometric data to estimate photo-z (even if has ID)
#
# NB LESS_87 appears TWICE, with 2 "robust" IDs, but only one of these has photo-z
#
#    short_name   S870	 err	ID_quality	zphot		errdn		errup		M_H
    LESS_97      4.2         1.4         -99         -99.0       -99.0            -99.0            -99.0      
    LESS_98      4.2         1.4         2           1.555       0.16199994       0.17400002       -24.4      
    LESS_99      4.3         1.4         -99         -99.0       -99.0            -99.0            -99.0      
    LESS_100     4.8         1.9         -99         -99.0       -99.0            -99.0            -99.0      
    LESS_101     4.2         1.4         2           2.395       0.51899993       0.36299992       -23.51     
    LESS_102     4.3         1.5         2           1.685       0.25             0.13200009       -24.34     
    LESS_103     4.3         1.5         2           1.835       0.869            0.59399986       -23.44     
    LESS_104     4.0         1.4         -99         -99.0       -99.0            -99.0            -99.0      
    LESS_105     4.6         1.7         1           0.695       0.695            6.305            -18.89     
    LESS_106     4.0         1.4         2           1.96        0.47800004       0.30500007       -25.0      
    LESS_107     4.0         1.4         -99         -99.0       -99.0            -99.0            -99.0      
    LESS_108     4.0         1.4         2           0.2         0.046000004      0.034999996      -22.75     
    LESS_109     4.0         1.4         1           2.18        0.74             0.23300004       -23.69     
    LESS_110     4.1         1.5         2           2.35        0.4439999        4.65             -23.22     
    LESS_111     4.1         1.5         2           2.61        0.058999777      0.14300013       -24.49     
    LESS_112     4.6         2.0         2           1.81        0.301            0.42400002       -24.02     
    LESS_113     3.9         1.4         -99         -99.0       -99.0            -99.0            -99.0      
    LESS_114     3.9         1.4         2           1.565       0.07300007       0.08399999       -24.61     
    LESS_115     4.6         2.4         2           4.75        3.287            2.25             -25.65     
    LESS_116     3.8         1.4         1           0.31        0.15100001       0.11199999       -17.44     
    LESS_117     3.8         1.4         2           1.725       0.337            0.29400003       -24.23     
    LESS_118     3.8         1.5         2           2.17        1.4940001        4.83             -22.21     
    LESS_119     3.8         1.5         -99         -99.0       -99.0            -99.0            -99.0      
    LESS_120     3.7         1.5         2           1.43        0.20899999       0.2980001        -23.41     
    LESS_121     3.8         1.6         1           2.65        0.11500001       0.13999987       -21.25     
    LESS_122     3.6         1.5         2           2.08        0.08099997       0.075999975      -25.14     
    LESS_123     3.7         1.6         -99         -99.0       -99.0            -99.0            -99.0      
    LESS_124     3.5         1.4         1           4.18        1.7399998        0.5370002        -24.61     
    LESS_125     3.6         1.4         -99         -99.0       -99.0            -99.0            -99.0      
    LESS_126     3.6         1.4         2           2.015       0.12800014       0.16699982       -23.84     
