# stellar mass function at 0.2<z<4 from Muzzin etal 2013, ApJ 777, 18
# 1/Vmax Method; stellar mass function; ALL, QUIESCENT, and STAR-FORMING galaxies (Fig.6)
# data obtained from authors by Michelle Furlong
# 
# use UltraVISTA DR1 data release, 96,000 gals with K_AB<23.4 in COSMOS field
# photom from GALEX, CFHT/Subaru, Spitzer IRAC
# photo-z's from EAZY
# stellar masses from FAST using BC03 SPS, exp SFR histories, solar metallicity, Calzetti extinction
# assume Kroupa (2001) IMF (they assume M(Kroupa) = M(Chabier) + 0.04dex)
#
# Ho=70., Omega_lambda=0.7, Omega_matter=0.3
#
# [Phi] = number / Mpc^3 / dex
# EU_logPhi,EL_logPhi = upper and lower 1-sigma total random error of logPhi, 
# including Poisson error, cosmic variance, and uncertainties from photometric 
# redshift errors.
#
# A = all galaxies, Q = quiescent galaxies, SF = star-forming galaxies
#
#                       A	 A        A	   Q	    Q	     Q	     SF	       SF       SF
#  zlow zup Mstar    E_Mstar  logPhi    EU_Phi   EL_Phi	logPhi    EU_Phi   EL_Phi  logPhi    EU_Phi   EL_Phi
#
# 0.2<z<0.5
 1.5 2.0  10.465    0.048   -2.901    0.033    0.034   -3.504    0.044    0.048   -3.025    0.035    0.036
 1.5 2.0  10.368    0.048   -2.830    0.032    0.040   -3.526    0.051    0.049   -2.928    0.034    0.049
 1.5 2.0  10.271    0.048   -2.805    0.037    0.056   -3.523    0.051    0.082   -2.897    0.038    0.054
 1.5 2.0  10.175    0.048   -2.713    0.035    0.051   -3.588    0.073    0.078   -2.775    0.036    0.053
# 2.0<z<2.5
 2.0 2.5  11.706    0.046   -5.352    0.377    0.524   -5.954    0.527    0.773   -5.477    0.399    0.490
 2.0 2.5  11.613    0.046   -5.109    0.237    0.291   -5.954    0.567    0.785   -5.176    0.254    0.421
 2.0 2.5  11.520    0.046   -5.255    0.375    0.285   -5.477    0.367    0.401   -5.653    0.627    0.486
 2.0 2.5  11.427    0.046   -4.556    0.142    0.127   -4.954    0.199    0.238   -4.778    0.206    0.163
 2.0 2.5  11.334    0.046   -4.091    0.097    0.134   -4.653    0.146    0.187   -4.230    0.105    0.138
 2.0 2.5  11.241    0.046   -4.014    0.093    0.082   -4.840    0.297    0.173   -4.085    0.091    0.095
 2.0 2.5  11.148    0.046   -3.811    0.072    0.078   -4.435    0.120    0.124   -3.929    0.076    0.083
 2.0 2.5  11.055    0.046   -3.614    0.066    0.066   -4.169    0.089    0.099   -3.755    0.066    0.069
 2.0 2.5  10.961    0.046   -3.549    0.058    0.060   -4.291    0.170    0.087   -3.636    0.064    0.077
 2.0 2.5  10.868    0.046   -3.445    0.062    0.057   -4.056    0.079    0.077   -3.567    0.068    0.066
 2.0 2.5  10.775    0.046   -3.332    0.050    0.049   -3.936    0.078    0.074   -3.456    0.051    0.055
 2.0 2.5  10.682    0.046   -3.298    0.049    0.061   -3.920    0.077    0.079   -3.417    0.051    0.070
 2.0 2.5  10.589    0.046   -3.275    0.057    0.057   -3.884    0.103    0.128   -3.398    0.058    0.060
# 2.5<z<3.0
  2.5 3.0  11.770    0.092   -5.471    0.311    0.353   -6.249    0.534    0.778   -5.550    0.336    0.327
  2.5 3.0  11.586    0.092   -5.045    0.232    0.179   -6.249    0.528    0.861   -5.045    0.204    0.187
  2.5 3.0  11.403    0.092   -4.351    0.110    0.109   -5.103    0.185    0.194   -4.436    0.112    0.116
  2.5 3.0  11.219    0.092   -4.047    0.090    0.088   -4.817    0.201    0.129   -4.128    0.088    0.090
  2.5 3.0  11.036    0.092   -3.806    0.073    0.070   -4.436    0.110    0.096   -3.922    0.076    0.076
  2.5 3.0  10.852    0.092   -3.454    0.063    0.108   -4.086    0.092    0.094   -3.569    0.067    0.138
# 3.0<z<4.0
 3.0 4.0  11.950    0.092   -6.051    0.432    0.395   -99       -99      0.165   -6.051    0.362    0.518
 3.0 4.0  11.767    0.092   -5.829    0.372    0.303   -99       -99      0.295   -5.829    0.294    0.294
 3.0 4.0  11.583    0.092   -5.206    0.195    0.165   -6.227    0.507    0.519   -5.249    0.193    0.194
 3.0 4.0  11.399    0.092   -4.997    0.204    0.140   -5.625    0.290    0.267   -5.113    0.199    0.139
 3.0 4.0  11.216    0.092   -4.856    0.219    0.113   -5.683    0.517    0.221   -4.926    0.169    0.117
 3.0 4.0  11.032    0.092   -4.361    0.126    0.123   -5.234    0.359    0.214   -4.423    0.122    0.139
