#GASSID RA DEC lg_M_star_disk lg_M_star_total lg_M_HI lg_M_mol lg_M_bar_disk lg_M_bar_total j_star_disk j_star_total j_bar_disk j_bar_total
3666 19.51281 15.54013 10.260541452970577 10.260541452970577 9.57 1.9823293620181584E9 10.401706534030293 10.401706534030293 670.7137822512202 670.7137822512202 929.8161321667794 929.8161321667794
101028 19.8873 14.87195 9.40642907763979 9.40642907763979 9.17 4.241370934614327E8 9.696380986285847 9.696380986285847 177.5033092493511 177.5033092493511 228.275905157978 228.275905157978
101007 20.2889 15.69477 9.36349178839969 9.432465672369592 9.41 2.0953594975611112E8 9.777349229371056 9.805258043523333 406.09052884473385 355.71750374322284 788.0694552147455 741.2915597048252
101004 20.37777 14.50498 9.794243768410674 9.794243768410674 9.17 4.319440290844701E8 9.93727898889028 9.93727898889028 280.32380983717076 280.32380983717076 443.72305475780416 443.72305475780416
3777 20.82008 14.65901 10.230778128480397 10.230778128480397 9.546 1.2390111678739572E9 10.361689376943117 10.361689376943117 587.2673559739427 587.2673559739427 967.1203868908494 967.1203868908494
101034 21.22751 14.21848 9.125583723272422 9.125583723272422 9.44 2.8493738320650935E8 9.727415793997991 9.727415793997991 289.0969835338782 289.0969835338782 747.1970890121896 747.1970890121896
27260 21.34867 14.51999 11.101042246042198 11.20896348367114 10.36 4.375471220351824E9 11.208164964696106 11.294679041531644 3529.2863821151036 2828.8733856809877 4312.739852147613 3580.723076523972
3792 22.17516 14.60924 10.572628575638916 10.833151889771102 9.438 2.783166066161132E8 10.616564953965288 10.857815914460595 2324.35674483265 1544.5429972324582 2359.4227124424465 1604.7046441567434
27284 23.01915 15.50037 10.722964569258524 10.892277481023006 9.78 2.1666100634967756E9 10.80031402996223 10.946127957095955 1538.6130525582637 1110.7809335155775 1810.3169439200008 1344.39399305687
101037 24.40472 0.04017 9.262777530709366 9.262777530709366 9.34 2.460874348885808E8 9.701649389109878 9.701649389109878 345.3427387424913 345.3427387424913 713.5515894128904 713.5515894128904
3817 25.85817 13.85468 9.932550695952264 9.973017826569782 10.143 1.0580749385853319E9 10.453072630263316 10.465680793127374 868.4281435286597 798.7135657318431 2417.2571855149313 2347.9932833257853
4111 26.50747 14.23919 10.580581592251962 10.779412823037788 9.702 1.7273191572491715E9 10.668334279859447 10.836951163738085 1815.5637099191977 1198.4508199194322 1924.035631614908 1333.0793758138834
