#   Mstar      err     Mgas       err    Mbar       err     jstar      err      jgas     err    jbar      err    Rd    rstar   rgas   rbar  
   3.3e+09  9.0e+08   1.5e+09  2.4e+08   4.8e+09  9.4e+08    204.0     23.8    459.9     23.2    283.0    23.60   1.21   1.00   0.98   1.00  
   3.9e+10  1.0e+10   1.4e+09  2.4e+08   4.0e+10  1.0e+10    664.6     62.8   2500.0    137.1    727.4    63.20   2.54   1.00   0.99   1.00  
   1.6e+08  1.0e+08   2.1e+09  1.3e+09   2.3e+09  1.3e+09    264.1    103.2    448.1    143.3    435.0   133.30   2.30   0.98   0.94   0.94  
   1.6e+08  4.0e+07   3.2e+08  5.7e+07   4.8e+08  7.0e+07     89.1     22.6    145.1     16.3    127.0    13.70   1.63   0.45   0.37   0.39  
   4.7e+08  3.0e+08   3.0e+08  1.8e+08   7.7e+08  3.5e+08     79.4    113.4    111.4     86.8     91.8    77.20   1.55   0.10   0.05   0.06  
   1.6e+09  1.0e+09   6.1e+08  3.8e+08   2.2e+09  1.1e+09     51.7     41.3    115.3     51.9     69.2    33.40   0.99   0.74   0.06   0.16  
   1.9e+11  7.3e+10   2.3e+10  7.6e+09   2.1e+11  7.4e+10   7469.0   1021.0  14940.0   2728.0   8264.0   978.30   7.89   1.00   0.95   1.00  
   7.6e+10  2.9e+10   2.3e+10  7.9e+09   1.0e+11  3.0e+10   1129.0    405.0   4096.0    667.0   1828.0   378.70   6.15   1.00   0.17   0.86  
   1.4e+11  8.8e+10   1.1e+10  6.6e+09   1.5e+11  8.8e+10   1813.0    579.7   8044.0   2402.0   2269.0   577.90   3.55   0.99   0.83   1.01  
   6.1e+10  2.9e+10   1.6e+10  7.0e+09   7.7e+10  2.9e+10   1269.0    289.7   4826.0   1009.0   2022.0   355.10   3.19   0.99   0.06   0.20  
   4.5e+10  2.5e+10   3.6e+09  1.9e+09   4.8e+10  2.5e+10   1047.0    423.6   2804.0    788.0   1179.0   397.70   3.79   0.99   0.98   1.00  
   7.3e+09  4.0e+09   5.9e+09  3.1e+09   1.3e+10  5.1e+09    267.5    160.3   1497.0    416.4    815.7   223.11   2.43   0.99   0.57   0.86  
   6.5e+08  4.2e+08   1.1e+09  7.0e+08   1.8e+09  8.1e+08    171.1    126.0    384.1    137.6    306.5    99.70   2.21   0.98   0.86   0.90  
   3.9e+08  1.0e+08   7.1e+08  1.3e+08   1.1e+09  1.6e+08     53.4     23.5    112.8     27.5     91.9    20.00   1.16   0.97   0.80   0.74  
   1.0e+09  6.4e+08   7.7e+08  4.8e+08   1.8e+09  8.0e+08    217.0    104.2    291.2     90.1    249.4    70.80   1.86   0.99   0.81   0.94  
   7.4e+08  4.8e+08   1.3e+09  7.9e+08   2.0e+09  9.2e+08    206.1     77.6    315.7    101.9    275.6    71.00   1.73   0.87   0.81   0.83  
   9.9e+10  5.5e+10   1.8e+10  9.2e+09   1.2e+11  5.6e+10   1595.0    928.5   6366.0   1615.0   2316.0   843.10   8.07   1.00   0.16   0.81  
   4.6e+08  3.0e+08   4.7e+08  2.9e+08   9.3e+08  4.2e+08    102.2     58.7    131.6     48.7    117.0    38.10   1.47   0.22   0.11   0.15  
   2.7e+08  1.8e+08   6.5e+08  4.0e+08   9.2e+08  4.4e+08     45.1     19.3    264.8     83.9    199.8    60.80   0.38   0.98   0.87   0.90  
   2.6e+08  1.7e+08   1.2e+09  7.4e+08   1.4e+09  7.5e+08    149.4    112.9    246.8    124.1    229.4   104.00   1.99   0.16   0.84   0.82  
   1.2e+08  7.4e+07   2.1e+08  1.3e+08   3.3e+08  1.5e+08     83.7     49.1    115.6     41.0    104.4    31.80   1.66   0.15   0.08   0.09  
   2.4e+09  1.5e+09   2.0e+09  1.2e+09   4.3e+09  2.0e+09    271.3    114.2    647.5    199.9    442.0   113.20   1.67   1.00   0.06   0.19  
   1.1e+09  4.2e+08   7.8e+08  2.5e+08   1.9e+09  4.8e+08    258.4     53.7    382.0     60.4    308.7    41.10   2.05   0.87   0.71   0.80  
   4.8e+08  3.1e+08   7.5e+08  4.7e+08   1.2e+09  5.6e+08    199.0     76.4    456.4    144.4    355.8    94.50   1.49   1.00   0.91   0.93  
   1.5e+09  9.7e+08   1.3e+09  8.1e+08   2.8e+09  1.3e+09    155.1    141.9    215.6    126.6    183.2    96.20   2.82   0.87   0.40   0.69  
   4.4e+08  1.6e+08   8.0e+08  2.5e+08   1.2e+09  3.0e+08    355.5    126.0    360.3     55.5    358.6    57.50   5.15   0.25   0.85   0.73  
   4.1e+10  2.2e+10   5.5e+09  2.9e+09   4.6e+10  2.3e+10    987.3    404.2   3479.0    872.9   1287.0   378.20   3.60   1.00   0.53   1.00  
   5.9e+10  3.2e+10   6.4e+09  3.3e+09   6.5e+10  3.3e+10    962.2    677.7   4675.0   1215.0   1328.0   629.50   5.37   1.00   0.98   1.00  
   7.7e+08  2.8e+08   5.8e+08  1.8e+08   1.4e+09  3.4e+08    127.3     32.9    284.8     49.3    195.1    30.30   1.39   0.98   0.74   0.87  
   3.1e+09  1.1e+09   2.0e+09  6.5e+08   5.1e+09  1.3e+09    474.3     88.4    697.2    105.9    563.6    69.50   2.76   0.76   0.22   0.52  
